requirement_id,source_anchor,design_owner,rtl_artifact,dv_scenario,acceptance
REQ_DVFS_001,csr.yaml:OPP,dvfs_opp_table,rtl/dvfs/dvfs_opp_table.sv,TC_OPP_TABLE,Idle-only OPP writes
REQ_DVFS_002,dvfs_sequence.md:upscale,dvfs_seq_fsm,rtl/dvfs/dvfs_seq_fsm.sv,TC_DVFS_UP,Voltage precedes frequency
REQ_DVFS_003,dvfs_sequence.md:downscale,dvfs_seq_fsm,rtl/dvfs/dvfs_seq_fsm.sv,TC_DVFS_DOWN,Frequency precedes voltage
REQ_DVFS_004,dvfs_sequence.md:arbitration,dvfs_mgr,rtl/dvfs/dvfs_mgr.sv,TC_DVFS_PRIORITY,Admission and priority pass
REQ_DVFS_005,dvfs_sequence.md:failure,dvfs_mgr,rtl/dvfs/dvfs_mgr.sv,TC_DVFS_ERRORS,Illegal/unsafe/timeouts preserve OPP
REQ_DVFS_006,dvfs_sequence.md:same OPP,dvfs_seq_fsm,rtl/dvfs/dvfs_seq_fsm.sv,TC_DVFS_SAME,Immediate completion/request stability
REQ_DFT_001,interface_contract.md:integration,enhanced_rscu_top,rtl/enhanced_rscu_top.sv,TC_OVERRIDE,Forced outputs/state preservation
REQ_DBG_001,csr.yaml:status,rscu_csr,rtl/rscu_csr.sv,TC_STATUS,Debug status reads match
REQ_SOC_001,enhanced_rscu_arch.md:top,ai_soc_top,rtl/soc/ai_soc_top.sv,TC_SOC_SMOKE,Prototype elaborates and runs
REQ_CFG_001,enhanced_rscu.yaml,rscu_pkg,rtl/rscu_pkg.sv,TC_PROFILE,Reference profile constants match
REQ_Q2_001,acceptance_criteria.md:Q2,DV plan,sva+rscu_uvm_pkg.sv,TC_Q2_SUITE,Normal/error/SVA suite passes
REQ_Q3_001,acceptance_criteria.md:Q3,enhanced_rscu_top,tb/tb_top.sv,TC_Q3_END_TO_END,Exact pass marker and zero failures
